VendorName,TotalPurchaseDollars,GrossProfit,TotalSalesDollars,Purchase_Contribution%
TALL SHIP DISTILLERY LLC,31160.500000000015,8632.11999999974,39792.619999999755,0.010138816083011518
TAMWORTH DISTILLING,23863.839999999982,676.3400000001966,24540.18000000018,0.007764672736137523
THE IMPORTED GRAPE LLC,12379.45,6324.199999999978,18703.64999999998,0.00402795098791216
THE PIERPONT GROUP LLC,5249.87,12065.80999999994,17315.67999999994,0.001708171126577547
TREASURY WINE ESTATES,2884811.3899999955,1802505.6400000327,4687317.030000028,0.9386425801057992
TRINCHERO FAMILY ESTATES,2154699.9499999927,1234266.24,3388966.1899999925,0.7010833108301866
TY KU LLC,13068.460000000006,8408.119999999806,21476.579999999813,0.004252136917834845
ULTRA BEVERAGE COMPANY LLP,11167081.609999983,5335462.699999755,16502544.309999738,3.6334778526586518
UNCORKED,118.74,58.2,176.94,3.8634907068140335e-05
VINEDREA WINES LLC,4657.599999999999,6727.9999999999445,11385.599999999944,0.0015154618760364698
VINEXTRA INC,88185.72000000003,40906.64999999953,129092.36999999956,0.028693339202771145
VINEYARD BRANDS INC,1175591.2899999986,649763.3400000163,1825354.630000015,0.38250682364211863
VINILANDIA USA,501087.21,285840.6499999998,786927.8599999998,0.1630407427268294
VRANKEN AMERICA,207317.49999999983,133481.61000000167,340799.1100000015,0.06745572129104917
WALPOLE MTN VIEW WINERY,9292.309999999998,2191.5699999999697,11483.879999999966,0.0030234759415390857
WEIN BAUER INC,42694.64000000005,13522.489999999923,56217.12999999997,0.013891725187028036
WESTERN SPIRITS BEVERAGE CO,298416.8599999993,106837.97000000085,405254.83000000013,0.0970970831536653
WILLIAM GRANT & SONS INC,5876538.2600000035,1693337.9399996973,7569876.199999701,1.9120726760777436
WINE GROUP INC,5203801.170000015,3100242.109999843,8304043.279999858,1.6931815277415405
ZORVINO VINEYARDS,86122.7100000001,38066.88000000017,124189.59000000027,0.02802208941642584
